snum,months,days,sex,cond,GNG,gazeOnOff,trial,trialType,startTime,endTime,duration
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,0,5,Still,23.840292052947916,25.825157078914344,1.9848650259664282
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,1,5,Still,25.825155876926146,26.242098756949417,0.41694288002327085
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,0,5,Still,26.242099706898443,26.25878982199356,0.016690115095116198
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,1,5,Still,26.25878918496892,31.37936971290037,5.120580527931452
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,0,5,Still,31.37937078299001,32.246715107001364,0.8673443240113556
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,1,5,Still,32.24671446392313,37.88444124395028,5.637726780027151
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,0,5,Still,37.88444255897775,39.88601810194086,2.00157554296311
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,1,6,ConPos,0,24.52247385296505,24.52247385296505
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,1,7,Still,0,22.471837041084655,22.471837041084655
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,0,7,Still,22.47183820803184,24.47339825006202,2.001560042030178
